market,MKT_CUSTOMER_ID_C,SSA_TRADE_N,billing_country,FINIS,MLI,MDSMT_MNTHYR_Y,LOC_BDN,gross_revenue,billed_revenue,gross_pieces
BEL,37000,Maasland Motor de Schaetzen NV,BEL, 1683383,0002,202511,120.939904885,135.484356507,143.617273186,2.0
BEL,37000,Maasland Motor de Schaetzen NV,BEL, 1487793,0022,202511,6.749675746,7.561403954,7.561403954,5.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 1765448,0113,202511,33.410289667,37.428271508,39.489591982,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 1765052,0074,202511,66.300043234,74.273406304,78.373767941,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 1765113,0457,202511,10.909641159,12.221654329,12.89390828,1.0
BEL,37000,Maasland Motor de Schaetzen NV,BEL, 1507965,0481,202511,19.130134025,21.43075853,21.43075853,1.0
BEL,37000,Maasland Motor de Schaetzen NV,BEL, 1762408,0201,202511,7.719844358,8.648246798,8.648246798,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 1718237,0285,202511,92.900129702,104.072467263,109.841839791,5.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2420301,0507,202509,73.970418006,82.866234189,87.447180436,1.0
BEL,37000,Maasland Motor de Schaetzen NV,BEL, 2365947,0553,202509,208.139764202,233.17102849,247.163614773,1.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 0027213,0870,202501,178.499663817,199.966356206,199.966356206,0.0
BEL,36600,GROUPE DE DONCKER SPRL,BEL, 0027401,0855,202501,487.999231582,546.686901723,546.686901723,0.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 0027401,0855,202501,487.999231582,546.686901723,546.686901723,0.0
BEL,16600,UNICARS BRUGGE BVBA,BEL, 0027125,0176,202501,13597.560272788,15232.827462512,15232.827462512,0.0
BEL,18261,BECKERS MOTORS & PARTNERS BV,BEL, 0027401,0855,202501,243.999615791,273.343450862,273.343450862,0.0
BEL,28051,GARAGE VANDEPUTTE BVBA,BEL, 0027401,0855,202501,243.999615791,273.343450862,273.343450862,0.0
BEL,28058,GAR.DEJONGHE,BEL, 0027401,0855,202501,243.999615791,273.343450862,273.343450862,0.0
BEL,28659,SA BORCY PERE ET FILS,BEL, 0027401,0855,202501,243.999615791,273.343450862,273.343450862,0.0
BEL,45451,GARAGE COULEMBIER BVBA,BEL, 0027401,0855,202501,243.999615791,273.343450862,273.343450862,0.0
BEL,10556,GARAGE BOEYKENS BVBA,BEL, 0027401,0855,202501,243.999615791,273.343450862,273.343450862,0.0
BEL,16053,JOHAN BVBA,BEL, 0027401,0855,202501,243.999615791,273.343450862,273.343450862,0.0
BEL,36600,GROUPE DE DONCKER SPRL,BEL, 0027213,0870,202501,458.99913553,514.199201673,514.199201673,0.0
BEL,36600,GROUPE DE DONCKER SPRL,BEL, 0027204,0763,202501,2389.319950053,2676.663888354,2676.663888354,0.0
BEL,18255,GARAGE HOUTMAN NV,BEL, 0027416,0870,202501,63.999615791,71.69632533,71.69632533,0.0
BEL,22659,GARAGE SCHILTZ FRERES S.A.,BEL, 0027416,0870,202501,63.999615791,71.69632533,71.69632533,0.0
BEL,46850,GARAGE TRADING BVBA,BEL, 0027416,0870,202501,63.999615791,71.69632533,71.69632533,0.0
BEL,28061,LATEUR BV,BEL, 0027416,0870,202501,63.999615791,71.69632533,71.69632533,0.0
BEL,28670,GARAGE DEBATY SA,BEL, 0027416,0870,202501,63.999615791,71.69632533,71.69632533,0.0
BEL,28668,IVES COPPIN,BEL, 0027416,0870,202501,63.999615791,71.69632533,71.69632533,0.0
BEL,32653,GARAGE K. DOUMEN,BEL, 0027416,0870,202501,63.999615791,71.69632533,71.69632533,0.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2171541,0002,202503,135.700341395,152.019909769,160.422007993,2.0
BEL,35000,AUTOPOLIS BERTRANGE,BEL, 2120653,0558,202503,212.599894216,238.167541829,251.386383375,10.0
BEL,36600,GROUPE DE DONCKER SPRL,BEL, 2210514,0132,202501,60.600326578,67.888231448,67.574028732,4.0
BEL,36600,GROUPE DE DONCKER SPRL,BEL, 2214728,0465,202501,-91.570454327,-102.582882771,-108.239607703,-1.0
BEL,36600,GROUPE DE DONCKER SPRL,BEL, 2214748,0465,202501,-91.570454327,-102.582882771,-108.239607703,-1.0
